"entry_id","contest_id","contest_name","PG","PG","SG","SG","SF","SF","PF","PF","C","","Instructions"
"1563170088","29270-221281711","NBA Beginner Mini Swat (Top 60 Win)","29270-9524","29270-12474","29270-24544","29270-9556","29270-23572","29270-9874","29270-23831","29270-55062","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"1563170076","29270-221281711","NBA Beginner Mini Swat (Top 60 Win)","29270-9524","29270-12474","29270-24544","29270-9556","29270-23572","29270-9874","29270-23831","29270-55062","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","","","","29270-9654:Vince Carter","29270-9654","SG","Vince","Vince Carter","Carter","14.649999618530273","2","3700","ATL@CLE","ATL","CLE","","","","",""
"","","","","","","","","","","","","","29270-15591:Miles Plumlee","29270-15591","C","Miles","Miles Plumlee","Plumlee","15.100000381469727","2","3700","ATL@CLE","ATL","CLE","","","","",""
"","","","","","","","","","","","","","29270-12340:Patrick Patterson","29270-12340","PF","Patrick","Patrick Patterson","Patterson","14.199999809265137","2","3600","SAC@OKC","OKC","SAC","","","","",""
"","","","","","","","","","","","","","29270-15727:Ben McLemore","29270-15727","SG","Ben","Ben McLemore","McLemore","3","1","3600","SAC@OKC","SAC","OKC","","","","",""
"","","","","","","","","","","","","","29270-81026:Milos Teodosic","29270-81026","PG","Milos","Milos Teodosic","Teodosic","19.571111382378472","45","3600","HOU@LAC","LAC","HOU","","","","",""
"","","","","","","","","","","","","","29270-70824:Ante Zizic","29270-70824","PF","Ante","Ante Zizic","Zizic","12.899999618530273","2","3600","ATL@CLE","CLE","ATL","","","","",""
"","","","","","","","","","","","","","29270-9643:Shaun Livingston","29270-9643","PG","Shaun","Shaun Livingston","Livingston","14.850000381469727","2","3600","GS@DEN","GS","DEN","","","","",""
"","","","","","","","","","","","","","29270-14515:Iman Shumpert","29270-14515","SG","Iman","Iman Shumpert","Shumpert","10","2","3600","SAC@OKC","SAC","OKC","","","","",""
"","","","","","","","","","","","","","29270-84677:Jerome Robinson","29270-84677","PG","Jerome","Jerome Robinson","Robinson","null","null","3600","HOU@LAC","LAC","HOU","","","","",""
"","","","","","","","","","","","","","29270-67556:Tyler Dorsey","29270-67556","SG","Tyler","Tyler Dorsey","Dorsey","7.800000190734863","2","3600","ATL@CLE","ATL","CLE","","","","",""
"","","","","","","","","","","","","","29270-42733:David Nwaba","29270-42733","SG","David","David Nwaba","Nwaba","0","1","3600","ATL@CLE","CLE","ATL","","","","",""
