"","","","","","","","","","","","","","29261-9624:Darren Collison","29261-9624","PG","Darren","Darren Collison","Collison","11.300000190734863","2","4400","BKN@IND","IND","BKN","","","","",""
"","","","","","","","","","","","","","29261-24546:Denzel Valentine","29261-24546","SF","Denzel","Denzel Valentine","Valentine","22.709090592025163","77","4400","DET@CHI","CHI","DET","O","Ankle","","",""
"","","","","","","","","","","","","","29261-19456:Isaiah Canaan","29261-19456","PG","Isaiah","Isaiah Canaan","Canaan","24.700000762939453","1","4300","PHO@DEN","PHO","DEN","","","","",""
"","","","","","","","","","","","","","29261-15947:Reggie Bullock","29261-15947","SG","Reggie","Reggie Bullock","Bullock","18.682258852066532","62","4300","DET@CHI","DET","CHI","","","","",""
"","","","","","","","","","","","","","29261-40562:Josh Hart","29261-40562","SG","Josh","Josh Hart","Hart","39.29999923706055","1","4300","HOU@LAL","LAL","HOU","","","","",""
"","","","","","","","","","","","","","29261-9873:Robin Lopez","29261-9873","C","Robin","Robin Lopez","Lopez","11.699999809265137","1","4300","DET@CHI","CHI","DET","","","","",""
"","","","","","","","","","","","","","29261-14505:Bismack Biyombo","29261-14505","C","Bismack","Bismack Biyombo","Biyombo","2","1","4300","CHA@MIA","CHA","MIA","","","","",""
"","","","","","","","","","","","","","29261-9587:Michael Beasley","29261-9587","SF","Michael","Michael Beasley","Beasley","1.2000000476837158","1","4300","HOU@LAL","LAL","HOU","","","","",""
"","","","","","","","","","","","","","29261-15771:Gorgui Dieng","29261-15771","C","Gorgui","Gorgui Dieng","Dieng","24.149999618530273","2","4300","MIN@DAL","MIN","DAL","","","","",""
"","","","","","","","","","","","","","29261-12359:Evan Turner","29261-12359","SF","Evan","Evan Turner","Turner","28.600000381469727","1","4200","SA@POR","POR","SA","","","","",""
"","","","","","","","","","","","","","29261-14529:Cory Joseph","29261-14529","PG","Cory","Cory Joseph","Joseph","17.950000762939453","2","4200","BKN@IND","IND","BKN","","","","",""
"","","","","","","","","","","","","","29261-58378:Jakob Poeltl","29261-58378","C","Jakob","Jakob Poeltl","Poeltl","11.800000190734863","1","4100","SA@POR","SA","POR","","","","",""
"","","","","","","","","","","","","","29261-42661:Noah Vonleh","29261-42661","PF","Noah","Noah Vonleh","Vonleh","20.350000381469727","2","4100","BOS@NY","NY","BOS","","","","",""
"","","","","","","","","","","","","","29261-9715:Marco Belinelli","29261-9715","SG","Marco","Marco Belinelli","Belinelli","16.799999237060547","1","4100","SA@POR","SA","POR","","","","",""
"","","","","","","","","","","","","","29261-15996:Jerian Grant","29261-15996","PG","Jerian","Jerian Grant","Grant","17.049999237060547","2","4000","ORL@PHI","ORL","PHI","","","","",""
"","","","","","","","","","","","","","29261-84670:Mikal Bridges","29261-84670","SF","Mikal","Mikal Bridges","Bridges","0","1","4000","PHO@DEN","PHO","DEN","","","","",""
"","","","","","","","","","","","","","29261-9939:Patty Mills","29261-9939","PG","Patty","Patty Mills","Mills","8.899999618530273","1","4000","SA@POR","SA","POR","","","","",""
"","","","","","","","","","","","","","29261-12511:Ish Smith","29261-12511","PG","Ish","Ish Smith","Smith","14.5","1","4000","DET@CHI","DET","CHI","","","","",""
"","","","","","","","","","","","","","29261-15590:Mason Plumlee","29261-15590","C","Mason","Mason Plumlee","Plumlee","16.600000381469727","1","4000","PHO@DEN","DEN","PHO","","","","",""
"","","","","","","","","","","","","","29261-15592:Austin Rivers","29261-15592","SG","Austin","Austin Rivers","Rivers","15","1","4000","TOR@WAS","WAS","TOR","","","","",""
"","","","","","","","","","","","","","29261-9454:Zaza Pachulia","29261-9454","C","Zaza","Zaza Pachulia","Pachulia","27.399999618530273","1","4000","DET@CHI","DET","CHI","","","","",""
"","","","","","","","","","","","","","29261-9475:Derrick Rose","29261-9475","PG","Derrick","Derrick Rose","Rose","21.799999237060547","2","4000","MIN@DAL","MIN","DAL","","","","",""
"","","","","","","","","","","","","","29261-84827:Allonzo Trier","29261-84827","SG","Allonzo","Allonzo Trier","Trier","18.200000762939453","2","4000","BOS@NY","NY","BOS","","","","",""
"","","","","","","","","","","","","","29261-80815:Zach Collins","29261-80815","PF","Zach","Zach Collins","Collins","33.20000076293945","1","4000","SA@POR","POR","SA","","","","",""
