Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Jeremy Lin,4600,ATL,PG,@ MIL,,21.00,45.57,2,230,700,108.25, ,33.09,15.85,21.24,4.62
Jared Dudley,3500,BKN,SF,@ MEM,,27.00,35.12,10,203.5,150,99.75,99.75,23.68,11.19,16.13,4.61
JaVale McGee,6500,LAL,C,NYK,,24.00,57.54,25,222,-214,113.75,113.75,42.17,18.39,29.95,4.61
Jeff Teague,6600,MIN,PG,ORL,,30.00,48.17,9,214,-160,109,109,49.18,20.04,30.36,4.6
Steven Adams,7100,OKC,C,@ POR,,33.00,51.75,11,224,-105,111.5,-0.25,42.99,21.48,32.64,4.6
Aaron Gordon,7600,ORL,PF,@ MIN,,35.00,52.32,28,214,150,105,105,44.99,18.72,34.93,4.6
Domantas Sabonis,7000,IND,PF,@ CHI,,26.00,56.88,23,200.5,-250,103.5,-0.5,47.90,24.27,32.02,4.57
Patrick Beverley,3800,LAC,PG,@ PHO,,23.00,44.74,27,234.5,-188,119.5,1.5,28.93,9.60,17.3,4.55
Jonathan Isaac,4300,ORL,SF,@ MIN,,25.00,52.93,10,214,150,105,105,30.95,14.95,19.49,4.53
Daniel Hamilton,3700,ATL,SG,@ MIL,,20.00,34.75,14,230,700,108.25, ,16.73,3.52,16.76,4.53
Jaren Jackson,6300,MEM,PF,BKN,,28.00,59.13,26,203.5,-175,103.75,103.75,32.33,8.72,28.51,4.53
Giannis Antetokounmpo,12500,MIL,SF,ATL,,33.00,51.58,27,230,-1000,121.75,-0.5,67.03,24.73,56.33,4.51
Dillon Brooks,3700,MEM,SG,BKN,,23.00,43.60,10,203.5,-175,103.75,103.75,30.57,15.90,16.67,4.51
Maurice Harkless,4900,POR,SF,OKC,,29.00,38.09,20,224,-111,112.5,-0.25,34.66,14.78,22.09,4.51
Josh Jackson,4100,PHO,PF,LAC,,20.00,48.39,24,234.5,163,115,1,26.10,11.90,18.5,4.51
Victor Oladipo,8800,IND,SG,@ CHI,,34.00,50.58,17,200.5,-250,103.5,-0.5,54.93,24.13,39.69,4.51
Harrison Barnes,5900,DAL,SF,@ BOS,,33.00,41.96,2,212.5,150,104.25,104.25,33.92,15.25,26.48,4.49
Khris Middleton,7400,MIL,SG,ATL,,31.00,49.63,28,230,-1000,121.75,-0.5,53.66,23.73,33.1,4.47
Bojan Bogdanovic,5500,IND,SF,@ CHI,,34.00,33.79,10,200.5,-250,103.5,-0.5,38.44,19.53,24.56,4.47
Damyean Dotson,3500,NYK,SG,@ LAL,,20.00,37.83,19,222,180,108.25,108.25,27.00,13.19,15.66,4.47
Paul George,10200,OKC,SF,@ POR,,37.00,51.10,26,224,-105,111.5,-0.25,63.53,28.05,45.54,4.46
John Collins,8300,ATL,PF,@ MIL,,33.00,47.72,1,230,700,108.25, ,57.80,23.67,36.98,4.46
Joe Ingles,5800,UTA,SF,@ CLE,,32.00,36.76,20,208.5,-500,109.25,1,39.05,17.24,25.81,4.45
Mike Conley,8400,MEM,PG,BKN,,34.00,37.99,7,203.5,-175,103.75,103.75,55.74,21.57,37.31,4.44
Meyers Leonard,3500,POR,PF,OKC,,15.00,51.42,7,224,-111,112.5,-0.25,26.76,12.64,15.55,4.44
Brook Lopez,5600,MIL,C,ATL,,27.00,61.16,29,230,-1000,121.75,-0.5,37.51,16.51,24.86,4.44
Thaddeus Young,5900,IND,PF,@ CHI,,31.00,47.95,15,200.5,-250,103.5,-0.5,37.68,13.83,26.2,4.44
Spencer Dinwiddie,6400,BKN,PG,@ MEM,,29.00,46.55,4,203.5,150,99.75,99.75,43.64,19.77,28.32,4.43
Jerami Grant,5600,OKC,PF,@ POR,,33.00,51.10,26,224,-105,111.5,-0.25,37.79,17.05,24.78,4.43
DeAndre Bembry,5400,ATL,SF,@ MIL,,29.00,39.17,25,230,700,108.25, ,35.28,18.76,23.87,4.42
Avery Bradley,3900,LAC,SG,@ PHO,,30.00,34.25,11,234.5,-188,119.5,1.5,25.71,11.26,17.22,4.42
Nerlens Noel,3700,OKC,C,@ POR,,15.00,51.75,11,224,-105,111.5,-0.25,27.45,13.87,16.32,4.41
Wendell Carter,5900,CHI,PF,IND,,27.00,54.88,18,200.5,210,97,-1,29.63,8.04,25.95,4.4
Bradley Beal,9700,WAS,SG,@ MIA,,38.00,43.48,9,212,210,102.75,-1,67.06,28.89,42.55,4.39
Dennis Smith Jr.,5400,DAL,PG,@ BOS,,28.00,48.63,10,212.5,150,104.25,104.25,32.53,13.47,23.64,4.38
Montrezl Harrell,7400,LAC,PF,@ PHO,,27.00,56.07,21,234.5,-188,119.5,1.5,48.43,25.34,32.44,4.38
Jusuf Nurkic,9100,POR,C,OKC,,30.00,50.76,8,224,-111,112.5,-0.25,51.69,21.53,39.73,4.37
Luke Kornet,5500,NYK,PF,@ LAL,,28.00,57.52,23,222,180,108.25,108.25,36.95,15.24,23.93,4.35
Jeff Green,5800,WAS,SF,@ MIA,,33.00,49.17,21,212,210,102.75,-1,37.22,18.81,25.18,4.34
Joe Harris,4900,BKN,SF,@ MEM,,31.00,36.27,17,203.5,150,99.75,99.75,31.21,14.18,21.29,4.34
Kyle Anderson,6200,MEM,SF,BKN,,35.00,31.63,2,203.5,-175,103.75,103.75,35.60,14.56,26.81,4.32
Kelly Olynyk,4000,MIA,PF,WAS,,18.00,60.96,28,212,-250,109.25,-1.5,25.79,14.39,17.15,4.29
Tomas Satoransky ,6400,WAS,PG,@ MIA,,35.00,49.39,13,212,210,102.75,-1,39.46,16.40,27.42,4.28
Rudy Gobert,8800,UTA,C,@ CLE,,33.00,49.59,4,208.5,-500,109.25,1,52.41,18.58,37.54,4.27
